sample,pulse1,pulse2,triangle,noise,dmc,mixed
123545,0,0.533333,0.933333,1,0.992126,0.536292
123546,0,0.533333,0.933333,1,0.992126,0.536292
123547,0,0.533333,0.933333,0,0.992126,0.437492
123548,0,0.533333,0.933333,0,0.992126,0.437492
123549,0,0.533333,0.866667,0,0.992126,0.426145
123550,0,0.533333,0.866667,1,0.992126,0.524945
123551,0,0.533333,0.866667,0,0.992126,0.426145
123552,0,0.533333,0.866667,0,0.992126,0.426145
123553,0,0.533333,0.866667,1,0.992126,0.524945
123554,0,0.533333,0.866667,0,0.992126,0.426145
123555,0,0.533333,0.866667,1,0.992126,0.524945
123556,0,0.533333,0.866667,1,0.992126,0.524945
123557,0,0.533333,0.866667,1,0.992126,0.524945
123558,0,0.533333,0.866667,1,0.992126,0.524945
123559,0,0.533333,0.866667,0,0.992126,0.426145
123560,0,0.533333,0.866667,1,0.992126,0.524945
123561,0,0.533333,0.866667,1,0.992126,0.524945
123562,0,0.533333,0.866667,0,0.992126,0.426145
123563,0,0.533333,0.866667,1,0.992126,0.524945
123564,0,0.533333,0.866667,1,0.992126,0.524945
123565,0,0.533333,0.866667,0,0.992126,0.426145
123566,0,0.533333,0.866667,0,0.992126,0.426145
123567,0,0.533333,0.866667,0,0.992126,0.426145
123568,0,0.533333,0.866667,1,0.992126,0.524945
123569,0,0.533333,0.866667,1,0.992126,0.524945
123570,0,0.533333,0.866667,1,0.992126,0.524945
123571,0,0.533333,0.866667,0,0.992126,0.426145
123572,0,0.533333,0.866667,0,0.992126,0.426145
123573,0,0.533333,0.8,0,0.992126,0.414799
123574,0,0.533333,0.8,1,0.992126,0.513599
123575,0,0,0.8,0,0.992126,0.334585
123576,0,0,0.8,1,0.992126,0.433385
123577,0,0,0.8,0,0.992126,0.334585
123578,0,0,0.8,1,0.992126,0.433385
123579,0,0,0.8,0,0.992126,0.334585
123580,0,0,0.8,1,0.992126,0.433385
123581,0,0,0.8,1,0.992126,0.433385
123582,0,0,0.8,1,0.992126,0.433385
123583,0,0,0.8,0,0.992126,0.334585
123584,0,0,0.8,0,0.992126,0.334585
123585,0,0,0.8,0,0.992126,0.334585
123586,0,0,0.8,0,0.992126,0.334585
123587,0,0,0.8,0,0.992126,0.334585
123588,0,0,0.8,0,0.992126,0.334585
123589,0,0,0.8,0,0.992126,0.334585
123590,0,0,0.8,1,0.992126,0.433385
123591,0,0,0.8,0,0.992126,0.334585
123592,0,0,0.8,0,0.992126,0.334585
123593,0,0,0.8,1,0.992126,0.433385
123594,0,0,0.8,1,0.992126,0.433385
123595,0,0,0.8,0,0.992126,0.334585
123596,0,0,0.8,0,0.992126,0.334585
123597,0,0,0.733333,1,0.992126,0.422038
123598,0,0,0.733333,1,0.992126,0.422038
123599,0,0,0.733333,1,0.992126,0.422038
123600,0,0,0.733333,1,0.992126,0.422038
123601,0,0,0.733333,1,0.992126,0.422038
123602,0,0,0.733333,0,0.992126,0.323239
123603,0,0,0.733333,0,0.992126,0.323239
123604,0,0,0.733333,1,0.992126,0.422038
123605,0,0,0.733333,0,0.992126,0.323239
123606,0,0,0.733333,0,0.992126,0.323239
123607,0,0,0.733333,1,0.992126,0.422038
123608,0,0,0.733333,1,0.992126,0.422038
123609,0,0,0.733333,0,0.992126,0.323239
123610,0,0,0.733333,1,0.992126,0.422038
123611,0,0,0.733333,1,0.992126,0.422038
123612,0,0,0.733333,1,0.992126,0.422038
123613,0,0,0.733333,1,0.992126,0.422038
123614,0,0,0.733333,0,0.992126,0.323239
123615,0,0,0.733333,1,0.992126,0.422038
123616,0,0,0.733333,0,0.992126,0.323239
123617,0,0,0.733333,0,0.992126,0.323239
123618,0,0,0.733333,0,0.992126,0.323239
123619,0,0,0.733333,0,0.992126,0.323239
123620,0,0,0.733333,1,0.992126,0.422038
123621,0,0,0.666667,0,0.992126,0.311892
123622,0,0,0.666667,0,0.992126,0.311892
123623,0,0,0.666667,1,0.992126,0.410692
123624,0,0,0.666667,1,0.992126,0.410692
123625,0,0,0.666667,1,0.992126,0.410692
123626,0,0,0.666667,0,0.992126,0.311892
123627,0,0,0.666667,0,0.992126,0.311892
123628,0,0,0.666667,0,0.992126,0.311892
123629,0,0,0.666667,1,0.992126,0.410692
123630,0,0,0.666667,1,0.992126,0.410692
123631,0,0,0.666667,1,0.992126,0.410692
123632,0,0,0.666667,0,0.992126,0.311892
123633,0,0,0.666667,0,0.992126,0.311892
123634,0,0,0.666667,0,0.992126,0.311892
123635,0,0,0.666667,1,0.992126,0.410692
123636,0,0,0.666667,1,0.992126,0.410692
123637,0,0,0.666667,1,0.992126,0.410692
123638,0,0,0.666667,0,0.992126,0.311892
123639,0,0,0.666667,1,0.992126,0.410692
123640,0,0,0.666667,0,0.992126,0.311892
123641,0,0,0.666667,1,0.992126,0.410692
123642,0,0,0.666667,1,0.992126,0.410692
123643,0,0,0.666667,1,0.992126,0.410692
123644,0,0,0.666667,0,0.992126,0.311892
123645,0,0,0.6,0,0.992126,0.300545
123646,0,0,0.6,0,0.992126,0.300545
123647,0,0,0.6,0,0.992126,0.300545
123648,0,0,0.6,1,0.992126,0.399345
123649,0,0,0.6,1,0.992126,0.399345
123650,0,0,0.6,0,0.992126,0.300545
123651,0,0,0.6,1,0.992126,0.399345
123652,0,0,0.6,0,0.992126,0.300545
123653,0,0,0.6,0,0.992126,0.300545
123654,0,0,0.6,1,0.992126,0.399345
123655,0,0,0.6,1,0.992126,0.399345
123656,0,0,0.6,0,0.992126,0.300545
123657,0,0,0.6,0,0.992126,0.300545
123658,0,0,0.6,1,0.992126,0.399345
123659,0,0,0.6,1,0.992126,0.399345
123660,0,0,0.6,0,0.992126,0.300545
123661,0,0,0.6,1,0.992126,0.399345
123662,0,0,0.6,1,0.992126,0.399345
123663,0,0,0.6,0,0.992126,0.300545
123664,0,0,0.6,0,0.992126,0.300545
123665,0,0,0.6,1,0.992126,0.399345
123666,0,0,0.6,0,0.992126,0.300545
123667,0,0,0.6,1,0.992126,0.399345
123668,0,0,0.6,1,0.992126,0.399345
123669,0,0,0.533333,1,0.992126,0.387999
123670,0,0,0.533333,0,0.992126,0.289199
123671,0,0,0.533333,1,0.992126,0.387999
123672,0,0,0.533333,0,0.992126,0.289199
123673,0,0,0.533333,0,0.992126,0.289199
123674,0,0,0.533333,0,0.992126,0.289199
123675,0,0,0.533333,0,0.992126,0.289199
123676,0,0,0.533333,1,0.992126,0.387999
123677,0,0,0.533333,0,0.992126,0.289199
123678,0,0,0.533333,0,0.992126,0.289199
123679,0,0,0.533333,0,0.992126,0.289199
123680,0,0,0.533333,0,0.992126,0.289199
123681,0,0,0.533333,1,0.992126,0.387999
123682,0,0,0.533333,0,0.992126,0.289199
